66,416,90,63
174,418,93,61
282,421,91,58
386,416,108,63
496,396,101,83
604,398,87,81
687,386,108,58
777,374,86,73
15,315,63,54
91,319,64,55
167,323,56,50
244,312,53,52
311,313,61,48
381,311,58,50
449,307,67,48
525,298,45,47
576,292,57,47
636,288,44,46
685,292,58,36
39,297,51,34
98,297,54,30
163,298,50,26
224,300,55,20
284,292,45,30
343,294,53,27
409,281,55,36
467,276,48,28
519,278,33,24
557,268,77,29
636,265,39,29
19,260,39,30
65,261,39,27
111,257,41,27
160,257,42,27
208,253,38,28
255,252,39,26
302,253,39,25
350,245,43,29
391,244,37,28
436,245,38,26
481,246,39,23
514,234,44,29
564,238,31,21
598,239,36,22
636,237,40,25
671,235,39,25
703,231,33,23
